ZOOM,PRUEBA,MODEL,BATCH_SIZE,EPOCH,CURRENT_LOSS,ACCURACY,ESTRATO_1,ESTRATO_2,ESTRATO_3,ESTRATO_4,ESTRATO_5,ESTRATO_6,NO_DEFINIDO,PRECISION,RECALL,F1_SCORE,MEAN_IOU,RUN_TIME
14_COMPOUND,6,Encoder-Decoder-Skip,2,70,0.4964657142857145,0.6763447571428572,0.14212087142857138,0.2829218142857143,0.7938288142857145,0.5334321714285716,0.02984421428571428,0.8229105571428571,1.0,0.6986034932787349,0.6763447352818083,0.6705672623943791,0.27140123237397096, 0 hours 51 minutes 50 seconds
14_COMPOUND,7,FRRN-A,1,70,0.25584428571428575,0.6758153285714285,0.16272425714285707,0.2795210428571429,0.7793921000000001,0.5436863428571427,0.0430794,0.8120276428571427,1.0,0.6954055227176724,0.6758153642926896,0.6658423680215639,0.2786728530895331, 1 hours 3 minutes 13 seconds
14_COMPOUND,8,MobileUNet,1,70,0.9791185714285715,0.47081141428571444,0.10240912857142853,0.11201802857142863,0.6614891142857143,0.5007732428571429,0.0006630142857142859,0.8003529571428561,1.0,0.5396313457880222,0.4708114188058036,0.4796549247348558,0.14023305725646623, 0 hours 48 minutes 34 seconds
14_COMPOUND,9,MobileUNet,2,70,1.2375628571428574,0.46542231428571434,0.10134749999999988,0.09752971428571429,0.5884082285714287,0.5021232571428571,0.09502904285714286,0.8005883285714275,1.0,0.612554062776615,0.46542227608816966,0.4850824694468944,0.13812594660566085, 0 hours 36 minutes 56 seconds
14_COMPOUND,10,MobileUNet-Skip,1,70,0.6153042857142859,0.6711333428571429,0.13814627142857142,0.39979332857142846,0.7780935285714288,0.5309710428571427,0.015862642857142856,0.8238072857142856,1.0,0.6971141704583288,0.671133313860212,0.6635778851681966,0.28174662058706107, 0 hours 37 minutes 36 seconds
14_COMPOUND,11,MobileUNet-Skip,2,70,0.7107242857142857,0.6365633857142857,0.12933244285714285,0.3089503571428573,0.7451334714285713,0.5080165999999999,0.06773055714285715,0.811471942857143,1.0,0.6614564391854904,0.6365633501325334,0.6303726127920712,0.2526580287278131, 0 hours 36 minutes 0 seconds
15_SIMPLE,1,FC-DenseNet56,1,50,0.5269794999999998,0.75784892,0.32999913999999997,0.52135966,0.8006715,0.62798594,0.14622404,0.9010158199999999,1.0,0.8214315615525437,0.7578488769531255,0.7602100898813695,0.3522175960070143, 1 hours 52 minutes 48 seconds
15_SIMPLE,2,FC-DenseNet56,1,70,0.4014349999999998,0.7612291000000003,0.3311791571428572,0.5191430714285714,0.7780197428571429,0.6456430857142856,0.15023531428571435,0.9019691857142857,1.0,0.8153809318655831,0.761229073660714,0.7568834268820781,0.3485571497395412, 2 hours 39 minutes 5 seconds
15_SIMPLE,3,Encoder-Decoder,1,70,0.6903714285714284,0.738779957142857,0.3144476857142858,0.4634975714285714,0.7575857000000001,0.6072004571428575,0.10116312857142849,0.9000035714285705,1.0,0.8235829063983472,0.7387800162179131,0.7527378430556303,0.28943675101807914, 2 hours 35 minutes 5 seconds
15_SIMPLE,4,Encoder-Decoder,2,70,0.7491939285714285,0.6816791714285715,0.30889297142857153,0.4634258571428573,0.7893133285714282,0.6035348000000001,0.10069112857142853,0.9000114714285705,1.0,0.7346598014181339,0.6816791207449775,0.6726617559041423,0.26801771057030577, 2 hours 40 minutes 59 seconds
15_SIMPLE,5,Encoder-Decoder-Skip,1,70,0.44779464285714277,0.7703360285714288,0.3196969571428572,0.5223754857142856,0.8094356285714287,0.6771093428571429,0.13832971428571428,0.904635871428571,1.0,0.8131891342215108,0.7703360203334265,0.765952651933247,0.3402702870730155, 3 hours 9 minutes 6 seconds
15_SIMPLE,6,Encoder-Decoder-Skip,2,70,0.5264260714285718,0.7067770714285712,0.35229669999999985,0.47259872857142876,0.8529457571428576,0.6194543,0.13456721428571425,0.9028770857142856,1.0,0.7642497805382169,0.7067770385742188,0.6922340270327642,0.30990597352261046, 2 hours 9 minutes 40 seconds
15_SIMPLE,7,FRRN-A,1,70,0.36035857142857125,0.7481016571428574,0.3478017714285714,0.3901308714285712,0.8430974857142856,0.7009854285714286,0.15294438571428573,0.905588957142857,1.0,0.7847509914226755,0.7481016758510046,0.7355107445499434,0.3299162554990712, 3 hours 10 minutes 29 seconds
15_SIMPLE,8,MobileUNet,1,70,0.7880332142857135,0.6655495285714288,0.30040918571428604,0.2641697857142857,0.807179142857143,0.6110509428571431,0.1044669142857143,0.9000523142857133,1.0,0.7650971384434647,0.6655494907924107,0.6771563220155392,0.24117605455175614, 1 hours 56 minutes 36 seconds
